"Sta","Latitude","Longitude","Elevation","Dist","EvAz","Phase","Time","TRes"
GEO,38.90000,-77.06670,29.0,112.80,346.2,PKKPbc,09:12:43.0,-7.1
HAI,36.13670,-117.94700,1150.0,113.18,21.4,PS,09:13:00.0,32.5
CLT,38.03330,-78.51670,150.0,113.93,347.2,S,09:09:58.0,___
CLT,38.03330,-78.51670,150.0,113.93,347.2,PP,09:02:40.0,-16.5
FLO,38.80170,-90.37000,160.0,114.59,357.4,Pdif,08:58:18.0,2.7
FLO,38.80170,-90.37000,160.0,114.59,357.4,S,09:08:51.0,___
SLM,38.63610,-90.23610,161.0,114.75,357.3,PKPdf,09:01:53.0,-12.8
SLM,38.63610,-90.23610,161.0,114.75,357.3,S,09:08:49.0,___
PAS,34.14844,-118.17114,257.0,114.92,22.5,Pdif,08:58:18.0,1.2
PAS,34.14844,-118.17114,257.0,114.92,22.5,PKKPab,09:12:57.0,5.8
LPA,-34.90890,-57.93190,14.0,148.65,246.5,PKPdf,09:03:10.2,1.6
LPA,-34.90890,-57.93190,14.0,148.65,246.5,09:03:27.6,___,__
LPA,-34.90890,-57.93190,14.0,148.65,246.5,PP,09:06:48,5.4
LPA,-34.90890,-57.93190,14.0,148.65,246.5,PcPcS,09:07:11.4,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,ScPcPcS,09:13:42.6,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,ScPcSP,09:17:12,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,PPS,09:19:36,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,SS,09:25:54,1.9
LPA,-34.90890,-57.93190,14.0,148.65,246.5,SSS,09:31:12,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,L,09:45:00,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,09:48:32.4,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,L,09:51:36,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,L,09:52:54,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,09:57:06.6,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,09:57:12.6,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,09:58:56.4,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:00:38.4,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:01:28.2,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:02:35.4,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:03:01.8,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:06:18.6,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:06:21.6,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:08:08.4,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:08:49.2,___
LPA,-34.90890,-57.93190,14.0,148.65,246.5,M,10:19:48.6,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,PKPdf,09:03:20,1.6
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,09:03:26,___,3000.0
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,PKPab,09:03:41,0.1
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,pP,09:04:35,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,PP,09:07:28,11.9
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,SKSdf,09:10:28,2.6
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,PPP,09:11:03,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,SKKSac,09:14:35,28.6
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,PSKS,09:18:01,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,PPS,09:20:46,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,09:22:48,___,56000.0
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,SS,09:26:46,-10.8
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,SSS,09:32:50,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,SSSS,09:36:48,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,L,09:46:00,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,LR,09:52:00,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:01:33,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:03:48,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:04:46,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:06:06,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:08:00,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:09:03,___
LPZ,-16.49530,-68.13270,3658.0,154.38,288.6,M,10:15:08,___
